id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,last_fico_range_high,last_fico_range_low,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_fico_range_low,sec_app_fico_range_high,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,disbursement_method,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term
99706724,20000.0,20000.0,20000.0, 36 months,13.99,683.46,C,C3,Accounts Payable Mgr,10+ years,MORTGAGE,65000.0,Not Verified,Mar-2017,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=99706724,,debt_consolidation,Debt consolidation,913xx,CA,13.68,0.0,Nov-2001,705.0,709.0,2.0,,,11.0,0.0,12275.0,64.9,25.0,w,0.0,0.0,23036.9510250346,23036.95,20000.0,3036.95,0.0,0.0,0.0,Jul-2018,7548.97,,Jul-2018,744.0,740.0,0.0,,1.0,Joint App,165000.0,8.02,Not Verified,0.0,0.0,735334.0,2.0,4.0,1.0,2.0,2.0,15457.0,67.0,0.0,5.0,4591.0,66.0,18900.0,8.0,0.0,8.0,9.0,66849.0,6146.0,64.9,0.0,0.0,183.0,37.0,14.0,2.0,3.0,14.0,,3.0,,0.0,3.0,5.0,3.0,7.0,9.0,5.0,13.0,5.0,11.0,0.0,0.0,0.0,2.0,100.0,66.7,0.0,0.0,759411.0,27732.0,17500.0,23245.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
77418292,7000.0,7000.0,7000.0, 36 months,9.16,223.12,B,B2,,,OWN,35000.0,Verified,Apr-2016,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=77418292,,debt_consolidation,Debt consolidation,766xx,TX,22.39,0.0,Aug-2003,710.0,714.0,0.0,56.0,,10.0,0.0,8348.0,27.3,29.0,f,0.0,0.0,7382.048097729301,7382.05,7000.0,382.05,0.0,0.0,0.0,Dec-2016,6050.45,,Dec-2018,664.0,660.0,0.0,,1.0,Individual,,,,0.0,0.0,28344.0,1.0,1.0,2.0,3.0,9.0,19996.0,87.0,2.0,3.0,5251.0,53.0,30600.0,0.0,0.0,3.0,6.0,3543.0,10852.0,43.5,0.0,0.0,86.0,152.0,4.0,4.0,1.0,4.0,,4.0,56.0,0.0,4.0,4.0,4.0,12.0,9.0,9.0,19.0,4.0,10.0,0.0,0.0,0.0,4.0,96.6,25.0,0.0,0.0,53672.0,28344.0,19200.0,23072.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
38466316,20000.0,20000.0,20000.0, 36 months,8.67,632.93,B,B1,dental technician,10+ years,MORTGAGE,90000.0,Source Verified,Jan-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=38466316,,debt_consolidation,Debt consolidation,840xx,UT,29.14,1.0,Dec-1997,665.0,669.0,0.0,5.0,,22.0,0.0,25642.0,69.7,39.0,f,0.0,0.0,22772.9061479841,22772.91,20000.0,2772.91,0.0,0.0,0.0,Feb-2018,6.7,,Feb-2018,524.0,520.0,0.0,,1.0,Individual,,,,0.0,323.0,396335.0,,,,,,,,,,,,36800.0,,,,5.0,18015.0,5132.0,81.9,0.0,0.0,151.0,204.0,12.0,12.0,4.0,24.0,,17.0,,0.0,14.0,18.0,14.0,19.0,10.0,18.0,24.0,18.0,22.0,0.0,0.0,0.0,1.0,89.7,57.1,0.0,0.0,434045.0,47232.0,28300.0,32219.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
72624856,16000.0,16000.0,16000.0, 36 months,14.46,550.43,C,C4,Veterinarian,5 years,OWN,50000.0,Source Verified,Mar-2016,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=72624856,,debt_consolidation,Debt consolidation,603xx,IL,34.64,4.0,Jul-1997,660.0,664.0,0.0,2.0,,9.0,0.0,33208.0,40.5,25.0,w,0.0,0.0,17595.5359081936,17595.54,16000.0,1595.54,0.0,0.0,0.0,Dec-2016,13217.81,,Mar-2019,744.0,740.0,1.0,,1.0,Individual,,,,0.0,60.0,81483.0,0.0,2.0,0.0,0.0,26.0,48275.0,70.0,0.0,2.0,16337.0,47.0,82000.0,0.0,0.0,0.0,2.0,9054.0,43792.0,43.1,0.0,0.0,148.0,223.0,15.0,15.0,0.0,80.0,15.0,19.0,15.0,0.0,5.0,5.0,6.0,14.0,7.0,7.0,18.0,5.0,9.0,0.0,0.0,0.0,0.0,84.0,33.3,0.0,0.0,155587.0,81483.0,77000.0,73587.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
58623366,4000.0,4000.0,4000.0, 36 months,11.53,131.97,B,B5,Program Manager,2 years,MORTGAGE,85000.0,Verified,Sep-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=58623366,,home_improvement,Home improvement,530xx,WI,24.27,0.0,Feb-1992,700.0,704.0,0.0,47.0,,7.0,0.0,91178.0,85.2,19.0,w,0.0,0.0,4184.07,4184.07,4000.0,184.07,0.0,0.0,0.0,Feb-2016,3657.48,,Nov-2017,694.0,690.0,0.0,55.0,1.0,Individual,,,,0.0,0.0,316030.0,,,,,,,,,,,,94500.0,,,,3.0,45147.0,,,0.0,0.0,154.0,282.0,7.0,7.0,2.0,,55.0,12.0,47.0,3.0,0.0,3.0,0.0,4.0,4.0,5.0,12.0,3.0,6.0,0.0,0.0,0.0,2.0,73.7,,0.0,0.0,329177.0,91411.0,0.0,0.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
38192930,10950.0,10950.0,10950.0, 36 months,15.59,382.76,D,D1,Security Officer,10+ years,MORTGAGE,38000.0,Not Verified,Jan-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=38192930,,medical,Medical expenses,895xx,NV,19.68,0.0,May-1993,690.0,694.0,0.0,28.0,,11.0,0.0,9981.0,54.5,25.0,w,0.0,0.0,13815.1726727055,13815.17,10950.0,2865.17,0.0,0.0,0.0,Feb-2018,382.62,,Dec-2018,709.0,705.0,0.0,56.0,1.0,Individual,,,,0.0,0.0,116140.0,,,,,,,,,,,,18300.0,,,,1.0,11614.0,6783.0,57.6,0.0,0.0,171.0,260.0,97.0,9.0,2.0,98.0,29.0,10.0,28.0,1.0,5.0,8.0,5.0,10.0,2.0,9.0,20.0,8.0,11.0,0.0,0.0,0.0,1.0,60.0,40.0,0.0,0.0,162200.0,18255.0,16000.0,10000.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
62335496,10000.0,10000.0,10000.0, 36 months,6.89,308.27,A,A3,Direct support provider,10+ years,MORTGAGE,43000.0,Verified,Oct-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=62335496,,debt_consolidation,Debt consolidation,405xx,KY,15.02,0.0,Jul-2002,745.0,749.0,0.0,,,8.0,0.0,4966.0,49.7,34.0,w,0.0,0.0,11093.821433726,11093.82,10000.0,1093.82,0.0,0.0,0.0,Oct-2018,308.2,,Mar-2019,759.0,755.0,0.0,,1.0,Individual,,,,0.0,58.0,98169.0,,,,,,,,,,,,10000.0,,,,0.0,14024.0,5034.0,49.7,0.0,0.0,159.0,124.0,45.0,29.0,2.0,62.0,,,,0.0,2.0,2.0,2.0,7.0,12.0,3.0,20.0,2.0,8.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,120289.0,31611.0,10000.0,34246.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
65373994,6500.0,6500.0,6500.0, 36 months,9.99,209.71,B,B3,Program specialist,3 years,OWN,36000.0,Source Verified,Nov-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=65373994,,debt_consolidation,Debt consolidation,390xx,MS,6.8,0.0,Sep-1997,680.0,684.0,0.0,32.0,39.0,6.0,1.0,8706.0,70.8,26.0,f,0.0,0.0,7498.4076836391005,7498.41,6500.0,998.41,0.0,0.0,0.0,Aug-2018,121.3,,Mar-2019,724.0,720.0,0.0,32.0,1.0,Individual,,,,0.0,0.0,38336.0,,,,,,,,,,,,12300.0,,,,2.0,6389.0,617.0,92.2,0.0,0.0,218.0,217.0,3.0,3.0,0.0,39.0,,,,1.0,2.0,4.0,2.0,3.0,19.0,5.0,7.0,4.0,6.0,0.0,0.0,0.0,1.0,96.2,100.0,0.0,1.0,37576.0,38336.0,7900.0,25276.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
6887276,7500.0,7500.0,7500.0, 36 months,19.52,276.9,D,D4,ThinGap LLC,10+ years,RENT,75000.0,Not Verified,Sep-2013,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=6887276,,debt_consolidation,Debt consolidation,930xx,CA,22.53,0.0,Apr-2000,665.0,669.0,2.0,60.0,,12.0,0.0,6304.0,41.7,25.0,f,0.0,0.0,9112.0499991943,9112.05,7500.0,1612.05,0.0,0.0,0.0,Mar-2015,2405.33,,Mar-2019,729.0,725.0,0.0,60.0,1.0,Individual,,,,0.0,385.0,52155.0,,,,,,,,,,,,15100.0,,,,7.0,4346.0,2190.0,64.7,0.0,0.0,163.0,145.0,3.0,3.0,0.0,17.0,79.0,3.0,79.0,1.0,4.0,7.0,5.0,6.0,15.0,9.0,10.0,7.0,12.0,0.0,0.0,0.0,4.0,83.0,20.0,0.0,0.0,78110.0,52155.0,6200.0,63010.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
34813545,4600.0,4600.0,4600.0, 36 months,24.99,182.88,F,F4,ORDER SELECTOR,3 years,RENT,38000.0,Not Verified,Nov-2014,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=34813545,,debt_consolidation,Debt consolidation,917xx,CA,36.39,3.0,May-2002,670.0,674.0,3.0,11.0,,6.0,0.0,4688.0,44.2,28.0,w,0.0,0.0,5882.86,5882.86,4600.0,1282.86,0.0,0.0,0.0,Mar-2016,3149.24,,Jun-2017,674.0,670.0,0.0,40.0,1.0,Individual,,,,0.0,0.0,18365.0,,,,,,,,,,,,10600.0,,,,5.0,3673.0,861.0,56.9,0.0,0.0,108.0,150.0,3.0,3.0,0.0,3.0,11.0,3.0,11.0,1.0,1.0,2.0,1.0,5.0,11.0,4.0,17.0,2.0,5.0,0.0,0.0,0.0,3.0,78.6,0.0,0.0,0.0,25021.0,18365.0,2000.0,14421.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
